Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,0.000320171
Filter Frequency,2e+08
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,MATH
-1.601e-01,0.24
-1.598e-01,0.28
-1.594e-01,0.36
-1.591e-01,-0.6
-1.588e-01,-0.64
-1.585e-01,-0.56
-1.582e-01,-0.36
-1.578e-01,-0.08
-1.575e-01,0.16
-1.572e-01,0.36
-1.569e-01,0.4
-1.566e-01,0.36
-1.562e-01,0.16
-1.559e-01,-0.08
-1.556e-01,-0.32
-1.553e-01,-0.56
-1.550e-01,-0.68
-1.546e-01,-0.64
-1.543e-01,-0.48
-1.540e-01,-0.24
-1.537e-01,0.04
-1.534e-01,0.28
-1.530e-01,0.4
-1.527e-01,0.4
-1.524e-01,0.28
-1.521e-01,0
-1.518e-01,-0.28
-1.514e-01,-0.4
-1.511e-01,-0.44
-1.508e-01,-0.44
-1.505e-01,-0.48
-1.502e-01,-0.48
-1.498e-01,-0.48
-1.495e-01,-0.48
-1.492e-01,-0.48
-1.489e-01,-0.48
-1.486e-01,-0.48
-1.482e-01,-0.48
-1.479e-01,-0.48
-1.476e-01,-0.44
-1.473e-01,-0.44
-1.470e-01,-0.44
-1.466e-01,-0.44
-1.463e-01,-0.44
-1.460e-01,-0.44
-1.457e-01,-0.44
-1.454e-01,-0.44
-1.450e-01,-0.44
-1.447e-01,-0.44
-1.444e-01,-0.44
-1.441e-01,-0.44
-1.438e-01,-0.44
-1.434e-01,-0.4
-1.431e-01,-0.4
-1.428e-01,-0.4
-1.425e-01,-0.4
-1.422e-01,-0.36
-1.418e-01,-0.32
-1.415e-01,-0.32
-1.412e-01,-0.32
-1.409e-01,-0.28
-1.406e-01,-0.24
-1.402e-01,-0.24
-1.399e-01,-0.2
-1.396e-01,-0.2
-1.393e-01,-0.2
-1.390e-01,-0.16
-1.386e-01,-0.16
-1.383e-01,-0.16
-1.380e-01,-0.12
-1.377e-01,-0.12
-1.374e-01,-0.12
-1.370e-01,-0.08
-1.367e-01,-0.04
-1.364e-01,-0.04
-1.361e-01,-0.04
-1.358e-01,0.04
-1.354e-01,0.04
-1.351e-01,0.08
-1.348e-01,0.08
-1.345e-01,0.12
-1.342e-01,0.16
-1.338e-01,0.2
-1.335e-01,0.24
-1.332e-01,0.24
-1.329e-01,0.24
-1.326e-01,0.28
-1.322e-01,0.28
-1.319e-01,0.28
-1.316e-01,0.32
-1.313e-01,0.32
-1.309e-01,0.36
-1.306e-01,0.36
-1.303e-01,0.36
-1.300e-01,0.36
-1.297e-01,0.36
-1.293e-01,0.36
-1.290e-01,0.4
-1.287e-01,0.44
-1.284e-01,0.4
-1.281e-01,0.4
-1.277e-01,0.4
-1.274e-01,0.44
-1.271e-01,0.4
-1.268e-01,0.4
-1.265e-01,0.36
-1.261e-01,0.36
-1.258e-01,0.32
-1.255e-01,0.28
-1.252e-01,0.28
-1.249e-01,0.28
-1.245e-01,0.24
-1.242e-01,0.24
-1.239e-01,0.2
-1.236e-01,0.2
-1.233e-01,0.16
-1.229e-01,0.16
-1.226e-01,0.08
-1.223e-01,0.08
-1.220e-01,0.04
-1.217e-01,0
-1.213e-01,-0.04
-1.210e-01,-0.08
-1.207e-01,-0.16
-1.204e-01,-0.2
-1.201e-01,-0.28
-1.197e-01,-0.32
-1.194e-01,-0.36
-1.191e-01,-0.4
-1.188e-01,-0.44
-1.185e-01,-0.48
-1.181e-01,-0.48
-1.178e-01,-0.48
-1.175e-01,-0.52
-1.172e-01,-0.52
-1.169e-01,-0.56
-1.165e-01,-0.56
-1.162e-01,-0.6
-1.159e-01,-0.6
-1.156e-01,-0.6
-1.153e-01,-0.6
-1.149e-01,-0.64
-1.146e-01,-0.64
-1.143e-01,-0.64
-1.140e-01,-0.6
-1.137e-01,-0.64
-1.133e-01,-0.6
-1.130e-01,-0.6
-1.127e-01,-0.56
-1.124e-01,-0.56
-1.121e-01,-0.52
-1.117e-01,-0.48
-1.114e-01,-0.48
-1.111e-01,-0.44
-1.108e-01,-0.4
-1.105e-01,-0.36
-1.101e-01,-0.36
-1.098e-01,-0.32
-1.095e-01,-0.28
-1.092e-01,-0.2
-1.089e-01,-0.2
-1.085e-01,-0.08
-1.082e-01,-0.08
-1.079e-01,0
-1.076e-01,0.04
-1.073e-01,0.08
-1.069e-01,0.16
-1.066e-01,0.2
-1.063e-01,0.2
-1.060e-01,0.28
-1.057e-01,0.28
-1.053e-01,0.32
-1.050e-01,0.32
-1.047e-01,0.36
-1.044e-01,0.36
-1.041e-01,0.36
-1.037e-01,0.4
-1.034e-01,0.4
-1.031e-01,0.4
-1.028e-01,0.4
-1.025e-01,0.36
-1.021e-01,0.36
-1.018e-01,0.36
-1.015e-01,0.32
-1.012e-01,0.28
-1.009e-01,0.24
-1.005e-01,0.2
-1.002e-01,0.16
-9.989e-02,0.16
-9.957e-02,0.08
-9.925e-02,0.04
-9.893e-02,-0.04
-9.861e-02,-0.08
-9.829e-02,-0.12
-9.797e-02,-0.2
-9.765e-02,-0.24
-9.733e-02,-0.28
-9.701e-02,-0.32
-9.669e-02,-0.36
-9.637e-02,-0.4
-9.605e-02,-0.44
-9.573e-02,-0.52
-9.541e-02,-0.52
-9.509e-02,-0.56
-9.477e-02,-0.56
-9.445e-02,-0.6
-9.413e-02,-0.6
-9.381e-02,-0.64
-9.349e-02,-0.64
-9.317e-02,-0.64
-9.285e-02,-0.6
-9.253e-02,-0.6
-9.221e-02,-0.6
-9.189e-02,-0.56
-9.157e-02,-0.52
-9.125e-02,-0.48
-9.093e-02,-0.44
-9.061e-02,-0.4
-9.029e-02,-0.36
-8.997e-02,-0.32
-8.965e-02,-0.28
-8.933e-02,-0.24
-8.901e-02,-0.2
-8.869e-02,-0.16
-8.837e-02,-0.12
-8.805e-02,-0.04
-8.773e-02,0
-8.741e-02,0.08
-8.709e-02,0.12
-8.677e-02,0.16
-8.645e-02,0.16
-8.613e-02,0.2
-8.581e-02,0.24
-8.549e-02,0.28
-8.517e-02,0.32
-8.485e-02,0.32
-8.453e-02,0.36
-8.420e-02,0.36
-8.388e-02,0.36
-8.356e-02,0.36
-8.324e-02,0.36
-8.292e-02,0.4
-8.260e-02,0.4
-8.228e-02,0.36
-8.196e-02,0.36
-8.164e-02,0.36
-8.132e-02,0.32
-8.100e-02,0.32
-8.068e-02,0.28
-8.036e-02,0.24
-8.004e-02,0.24
-7.972e-02,0.2
-7.940e-02,0.16
-7.908e-02,0.12
-7.876e-02,0.08
-7.844e-02,0.04
-7.812e-02,0
-7.780e-02,-0.04
-7.748e-02,-0.08
-7.716e-02,-0.12
-7.684e-02,-0.16
-7.652e-02,-0.24
-7.620e-02,-0.28
-7.588e-02,-0.28
-7.556e-02,-0.32
-7.524e-02,-0.36
-7.492e-02,-0.4
-7.460e-02,-0.4
-7.428e-02,-0.44
-7.396e-02,-0.44
-7.364e-02,-0.48
-7.332e-02,-0.48
-7.300e-02,-0.52
-7.268e-02,-0.52
-7.236e-02,-0.56
-7.204e-02,-0.56
-7.172e-02,-0.56
