Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.4,,,
Sample Interval,0.0032,,,
Filter Frequency,2e+08,,,
Record Length,2000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.002,0.001,2,0.001
Label,,,,
TIME,CH1,CH2,CH3,CH4
-2.902e+00,-9.53674e-11,6e-05,0.52,8e-05
-2.899e+00,-9.53674e-11,2e-05,0.68,-4e-05
-2.896e+00,-8.00001e-05,0.00018,0.84,4e-05
-2.893e+00,-9.53674e-11,6e-05,1.08,2.98023e-12
-2.890e+00,-8.00001e-05,0.00014,1.32,0.00012
-2.886e+00,-8.00001e-05,6e-05,1.48,-4e-05
-2.883e+00,-9.53674e-11,-2e-05,1.24,4e-05
-2.880e+00,-9.53674e-11,6e-05,1.08,-0.00012
-2.877e+00,-8.00001e-05,0.00014,0.92,8e-05
-2.874e+00,-0.00016,0.00026,0.68,-4e-05
-2.870e+00,-8.00001e-05,0.00018,0.52,4e-05
-2.867e+00,-8.00001e-05,0.0001,0.28,-4e-05
-2.864e+00,7.99999e-05,0.00014,0.12,4e-05
-2.861e+00,-9.53674e-11,0.0001,-0.12,2.98023e-12
-2.858e+00,-9.53674e-11,0.0001,-0.28,2.98023e-12
-2.854e+00,-8.00001e-05,0.00026,-0.44,-0.00012
-2.851e+00,-9.53674e-11,0.00018,-0.68,2.98023e-12
-2.848e+00,-0.00024,-6e-05,-0.84,-0.00012
-2.845e+00,-0.00024,0.00014,-1.08,4e-05
-2.842e+00,-0.00016,0.00018,-1.24,-4e-05
-2.838e+00,-8.00001e-05,2e-05,-1.48,2.98023e-12
-2.835e+00,-0.00024,6e-05,-1.48,2.98023e-12
-2.832e+00,-8.00001e-05,0.00014,-1.32,-8e-05
-2.829e+00,-8.00001e-05,0.00014,-1.16,-4e-05
-2.826e+00,-8.00001e-05,6e-05,-0.92,8e-05
-2.822e+00,-8.00001e-05,0.0001,-0.76,-0.00012
-2.819e+00,-9.53674e-11,6e-05,-0.52,-0.00012
-2.816e+00,-9.53674e-11,-6e-05,-0.36,4e-05
-2.813e+00,-0.00016,-0.0001,-0.12,-8e-05
-2.810e+00,-8.00001e-05,-2e-05,0.04,-8e-05
-2.806e+00,-8.00001e-05,0.00014,0.2,-4e-05
-2.803e+00,7.99999e-05,0.0001,0.44,2.98023e-12
-2.800e+00,-9.53674e-11,6e-05,0.68,4e-05
-2.797e+00,-9.53674e-11,0.00018,0.84,0.00012
-2.794e+00,-9.53674e-11,2e-05,1,-8e-05
-2.790e+00,-0.00016,2e-05,1.16,-8e-05
-2.787e+00,-8.00001e-05,0.0001,1.4,4e-05
-2.784e+00,-8.00001e-05,-0.00018,1.32,2.98023e-12
-2.781e+00,7.99999e-05,6e-05,1.16,4e-05
-2.778e+00,7.99999e-05,6e-05,0.92,4e-05
-2.774e+00,-9.53674e-11,0.0003,0.68,0.00012
-2.771e+00,-0.00024,0.00018,0.52,-4e-05
-2.768e+00,-0.00016,0.00022,0.36,-8e-05
-2.765e+00,-9.53674e-11,0.00018,0.2,-0.00016
-2.762e+00,-8.00001e-05,2e-05,-0.04,8e-05
-2.758e+00,-0.00016,0.00022,-0.2,-0.00012
-2.755e+00,-9.53674e-11,0.00018,-0.44,-0.00012
-2.752e+00,-8.00001e-05,6e-05,-0.6,2.98023e-12
-2.749e+00,-0.00016,-2e-05,-0.84,8e-05
-2.746e+00,-0.00016,-2e-05,-1,2.98023e-12
-2.742e+00,-0.00016,0.0001,-1.24,4e-05
-2.739e+00,-9.53674e-11,0.00022,-1.4,-0.00012
-2.736e+00,-0.00016,6e-05,-1.56,2.98023e-12
-2.733e+00,-0.00016,-0.0001,-1.4,-4e-05
-2.730e+00,0.00016,2e-05,-1.16,2.98023e-12
-2.726e+00,-8.00001e-05,6e-05,-1,-0.00016
-2.723e+00,-9.53674e-11,2e-05,-0.76,2.98023e-12
-2.720e+00,-8.00001e-05,6e-05,-0.6,0.00012
-2.717e+00,7.99999e-05,0.0001,-0.36,8e-05
-2.714e+00,-8.00001e-05,0.0001,-0.2,4e-05
-2.710e+00,-8.00001e-05,0.0001,-0.04,2.98023e-12
-2.707e+00,-8.00001e-05,0.0001,0.2,-0.0002
-2.704e+00,-0.00016,-0.0001,0.36,2.98023e-12
-2.701e+00,-9.53674e-11,-2e-05,0.6,0.00012
-2.698e+00,-0.00016,-6e-05,0.76,4e-05
-2.694e+00,-8.00001e-05,2e-05,1,-4e-05
-2.691e+00,-8.00001e-05,0.00018,1.16,0.00012
-2.688e+00,0.00016,0.00022,1.4,4e-05
-2.685e+00,-8.00001e-05,0.00014,1.4,2.98023e-12
-2.682e+00,-9.53674e-11,6e-05,1.24,0.00012
-2.678e+00,-8.00001e-05,0.00018,1,0.00012
-2.675e+00,-0.00016,0.0001,0.84,2.98023e-12
-2.672e+00,-0.00024,0.00018,0.6,-4e-05
-2.669e+00,-8.00001e-05,0.00014,0.44,-4e-05
-2.666e+00,-9.53674e-11,2e-05,0.2,-0.00012
-2.662e+00,-9.53674e-11,2e-05,0.04,0.00016
-2.659e+00,-0.00016,-0.0001,-0.12,4e-05
-2.656e+00,-9.53674e-11,0.00018,-0.36,-4e-05
-2.653e+00,-8.00001e-05,2e-05,-0.6,-4e-05
-2.650e+00,7.99999e-05,-2e-05,-0.84,-0.0002
-2.646e+00,-9.53674e-11,6e-05,-1,0.00012
-2.643e+00,-0.00016,2e-05,-1.24,2.98023e-12
-2.640e+00,-8.00001e-05,0.0001,-1.32,-0.00012
-2.637e+00,-0.00016,0.0001,-1.56,4e-05
-2.634e+00,-9.53674e-11,6e-05,-1.4,4e-05
-2.630e+00,-0.00016,2e-05,-1.24,4e-05
-2.627e+00,-8.00001e-05,-6e-05,-1.08,2.98023e-12
-2.624e+00,7.99999e-05,0.0001,-0.84,2.98023e-12
-2.621e+00,-9.53674e-11,0.00018,-0.68,8e-05
-2.618e+00,-0.00016,0.0001,-0.44,-0.0002
-2.614e+00,-9.53674e-11,0.0001,-0.28,8e-05
-2.611e+00,-9.53674e-11,2e-05,-0.04,-0.0002
-2.608e+00,-8.00001e-05,0.00014,0.12,8e-05
-2.605e+00,-8.00001e-05,6e-05,0.36,8e-05
-2.602e+00,-9.53674e-11,0.00014,0.52,4e-05
-2.598e+00,-0.00016,-2e-05,0.76,-4e-05
-2.595e+00,-8.00001e-05,6e-05,0.92,2.98023e-12
-2.592e+00,-8.00001e-05,0.0001,1.08,-8e-05
-2.589e+00,7.99999e-05,0.0001,1.32,-4e-05
-2.586e+00,-9.53674e-11,0.00014,1.48,4e-05
-2.582e+00,-8.00001e-05,0.00014,1.24,8e-05
-2.579e+00,-0.00016,0.00018,1.08,0.00012
-2.576e+00,-0.00016,2e-05,0.84,2.98023e-12
-2.573e+00,-8.00001e-05,-6e-05,0.68,8e-05
-2.570e+00,-0.00016,0.0001,0.44,-8e-05
-2.566e+00,-0.00016,0.00022,0.28,-4e-05
-2.563e+00,-0.00016,0.00014,0.04,-0.00012
-2.560e+00,-9.53674e-11,0.0001,-0.12,-0.00016
-2.557e+00,-8.00001e-05,0.00018,-0.36,0.00012
-2.554e+00,-8.00001e-05,6e-05,-0.52,4e-05
-2.550e+00,-9.53674e-11,2e-05,-0.76,4e-05
-2.547e+00,-0.00016,6e-05,-0.92,-0.00016
-2.544e+00,-0.00016,0.00018,-1.16,-0.00012
-2.541e+00,-8.00001e-05,0.0001,-1.32,-0.00012
-2.538e+00,-9.53674e-11,-0.0001,-1.48,-8e-05
-2.534e+00,-0.00016,-2e-05,-1.48,4e-05
-2.531e+00,-9.53674e-11,0.00022,-1.24,4e-05
-2.528e+00,-0.00016,-2e-05,-1.08,4e-05
-2.525e+00,-0.00024,0.00026,-0.92,2.98023e-12
-2.522e+00,-0.00016,0.00014,-0.76,2.98023e-12
-2.518e+00,-9.53674e-11,-0.0001,-0.44,4e-05
-2.515e+00,-8.00001e-05,2e-05,-0.28,-8e-05
-2.512e+00,-9.53674e-11,2e-05,-0.04,-0.00012
-2.509e+00,-9.53674e-11,0.00018,0.12,-4e-05
-2.506e+00,-9.53674e-11,-6e-05,0.28,4e-05
-2.502e+00,-8.00001e-05,0.0001,0.52,2.98023e-12
-2.499e+00,-8.00001e-05,-0.00014,0.68,2.98023e-12
-2.496e+00,-9.53674e-11,6e-05,0.84,8e-05
-2.493e+00,-8.00001e-05,-6e-05,1.08,2.98023e-12
-2.490e+00,-0.00016,2e-05,1.24,-4e-05
-2.486e+00,-9.53674e-11,0.00014,1.4,0.00012
-2.483e+00,-9.53674e-11,-6e-05,1.32,0.00012
-2.480e+00,-0.00016,6e-05,1.08,4e-05
-2.477e+00,-8.00001e-05,-0.0001,0.92,8e-05
-2.474e+00,-9.53674e-11,6e-05,0.68,-0.0002
-2.470e+00,-9.53674e-11,0.00026,0.52,-8e-05
-2.467e+00,-8.00001e-05,-6e-05,0.28,2.98023e-12
-2.464e+00,-9.53674e-11,0.0001,0.12,-0.00016
-2.461e+00,-8.00001e-05,0.00014,-0.12,8e-05
-2.458e+00,-9.53674e-11,0.0001,-0.28,-0.00012
-2.454e+00,-9.53674e-11,0.0001,-0.44,-8e-05
-2.451e+00,-8.00001e-05,2e-05,-0.68,0.00012
-2.448e+00,-0.00016,2e-05,-0.84,-4e-05
-2.445e+00,-9.53674e-11,6e-05,-1.08,2.98023e-12
-2.442e+00,7.99999e-05,6e-05,-1.24,4e-05
-2.438e+00,-0.00016,0.00014,-1.4,-4e-05
-2.435e+00,-0.00016,-0.0001,-1.48,-8e-05
-2.432e+00,-9.53674e-11,0.00014,-1.32,2.98023e-12
-2.429e+00,-0.00024,6e-05,-1.16,-8e-05
-2.426e+00,-0.00016,0.0001,-0.92,4e-05
-2.422e+00,-8.00001e-05,0.00014,-0.76,2.98023e-12
-2.419e+00,-8.00001e-05,6e-05,-0.52,2.98023e-12
-2.416e+00,7.99999e-05,0.0001,-0.28,-0.00016
-2.413e+00,-0.00024,-6e-05,-0.12,0.00012
-2.410e+00,-9.53674e-11,2e-05,0.04,-4e-05
-2.406e+00,-9.53674e-11,0.00018,0.2,-8e-05
-2.403e+00,-8.00001e-05,6e-05,0.44,-4e-05
-2.400e+00,-0.00016,0.00022,0.6,-0.00012
-2.397e+00,-9.53674e-11,0.00014,0.84,-8e-05
-2.394e+00,-8.00001e-05,0.0001,1,4e-05
-2.390e+00,-9.53674e-11,0.00014,1.24,-8e-05
-2.387e+00,-8.00001e-05,0.00014,1.4,-8e-05
-2.384e+00,-8.00001e-05,-2e-05,1.32,8e-05
-2.381e+00,-0.00016,2e-05,1.16,-4e-05
-2.378e+00,-8.00001e-05,-6e-05,0.92,-0.00012
-2.374e+00,-9.53674e-11,2e-05,0.76,0.00012
-2.371e+00,-9.53674e-11,0.0001,0.52,2.98023e-12
-2.368e+00,-0.00016,6e-05,0.36,-0.0002
-2.365e+00,-8.00001e-05,6e-05,0.2,-4e-05
-2.362e+00,-8.00001e-05,0.00022,-0.12,2.98023e-12
-2.358e+00,-0.00024,-2e-05,-0.2,-8e-05
-2.355e+00,-8.00001e-05,0.00018,-0.44,-8e-05
-2.352e+00,7.99999e-05,0.0001,-0.6,-4e-05
-2.349e+00,-9.53674e-11,-2e-05,-0.84,-4e-05
-2.346e+00,-9.53674e-11,0.00018,-1,-0.00012
-2.342e+00,7.99999e-05,0.00018,-1.24,4e-05
-2.339e+00,-8.00001e-05,0.00014,-1.4,-0.00016
