Model,TBS2074B
-1.428e-01,0.4
-1.422e-01,-0.64
-1.415e-01,0.36
-1.409e-01,-0.12
-1.402e-01,-0.44
-1.396e-01,0.12
-1.390e-01,0.24
-1.383e-01,-0.56
-1.377e-01,-0.52
-1.370e-01,-0.4
-1.364e-01,-0.6
-1.358e-01,0.36
-1.351e-01,-0.36
-1.345e-01,-0.24
-1.338e-01,0.4
-1.332e-01,0.4
-1.326e-01,0.32
-1.319e-01,-0.2
-1.313e-01,-0.64
-1.306e-01,-0.36
-1.300e-01,-0.36
-1.293e-01,-0.64
-1.287e-01,0
-1.281e-01,0.24
-1.274e-01,-0.6
-1.268e-01,-0.16
-1.261e-01,0.04
-1.255e-01,-0.08
-1.249e-01,-0.48
-1.242e-01,-0.56
-1.236e-01,-0.2
-1.229e-01,-0.2
-1.223e-01,-0.48
-1.217e-01,-0.48
-1.210e-01,0.4
-1.204e-01,-0.24
-1.197e-01,-0.6
-1.191e-01,-0.32
-1.185e-01,-0.24
-1.178e-01,-0.56
-1.172e-01,-0.48
-1.165e-01,-0.08
-1.159e-01,0.16
-1.153e-01,0.04
-1.146e-01,-0.6
-1.140e-01,0.04
-1.133e-01,0.2
-1.127e-01,-0.6
-1.121e-01,-0.32
-1.114e-01,-0.24
-1.108e-01,-0.6
-1.101e-01,-0.4
-1.095e-01,0.2
-1.089e-01,0.4
-1.082e-01,0.36
-1.076e-01,-0.32
-1.069e-01,-0.28
-1.063e-01,0.32
-1.057e-01,-0.6
-1.050e-01,-0.24
-1.044e-01,-0.28
-1.037e-01,-0.6
-1.031e-01,-0.12
-1.025e-01,0.4
-1.018e-01,0.12
-1.012e-01,0.36
-1.005e-01,-0.04
-9.989e-02,-0.4
-9.925e-02,0.2
-9.861e-02,-0.6
-9.797e-02,-0.2
-9.733e-02,-0.36
-9.669e-02,-0.56
-9.605e-02,0.32
-9.541e-02,0
-9.477e-02,-0.32
-9.413e-02,0.12
-9.349e-02,0.08
-9.285e-02,-0.28
-9.221e-02,-0.08
-9.157e-02,-0.52
-9.093e-02,-0.28
-9.029e-02,-0.56
-8.965e-02,-0.12
-8.901e-02,0.2
-8.837e-02,-0.56
-8.773e-02,-0.6
-8.709e-02,0
-8.645e-02,-0.04
-8.581e-02,0.04
-8.517e-02,-0.32
-8.453e-02,-0.48
-8.388e-02,-0.4
-8.324e-02,-0.56
-8.260e-02,0.36
-8.196e-02,-0.4
-8.132e-02,-0.6
-8.068e-02,-0.6
-8.004e-02,0.08
-7.940e-02,-0.4
-7.876e-02,0.36
-7.812e-02,-0.48
-7.748e-02,-0.52
-7.684e-02,-0.56
-7.620e-02,-0.12
-7.556e-02,0.12
-7.492e-02,-0.6
-7.428e-02,-0.52
-7.364e-02,-0.6
-7.300e-02,0.36
-7.236e-02,-0.6
-7.172e-02,0.36
-7.108e-02,-0.52
-7.044e-02,-0.56
-6.980e-02,-0.52
-6.916e-02,0.32
-6.852e-02,-0.28
-6.788e-02,-0.56
-6.724e-02,-0.48
-6.660e-02,-0.48
-6.596e-02,0.28
-6.531e-02,-0.44
-6.467e-02,0.28
-6.403e-02,-0.52
-6.339e-02,-0.56
-6.275e-02,-0.04
-6.211e-02,0.24
-6.147e-02,-0.56
-6.083e-02,-0.48
-6.019e-02,-0.56
-5.955e-02,-0.16
-5.891e-02,0
-5.827e-02,-0.32
-5.763e-02,0.28
-5.699e-02,-0.28
-5.635e-02,-0.16
-5.571e-02,0.36
-5.507e-02,-0.12
-5.443e-02,-0.6
-5.379e-02,-0.44
-5.315e-02,-0.6
-5.251e-02,0.16
-5.187e-02,0.2
-5.123e-02,-0.52
-5.059e-02,-0.48
-4.995e-02,-0.52
-4.931e-02,-0.36
-4.867e-02,0.36
-4.803e-02,-0.48
-4.739e-02,-0.08
-4.674e-02,0.36
-4.610e-02,0.32
-4.546e-02,0
-4.482e-02,-0.56
-4.418e-02,-0.36
-4.354e-02,-0.04
-4.290e-02,-0.32
-4.226e-02,-0.56
-4.162e-02,0.16
-4.098e-02,0.04
-4.034e-02,-0.6
-3.970e-02,-0.4
-3.906e-02,-0.4
-3.842e-02,-0.6
-3.778e-02,-0.4
-3.714e-02,0.08
-3.650e-02,0.2
-3.586e-02,0.04
-3.522e-02,-0.44
-3.458e-02,-0.36
-3.394e-02,0.36
-3.330e-02,-0.12
-3.266e-02,-0.48
-3.202e-02,-0.56
-3.138e-02,-0.4
-3.074e-02,0.08
-3.010e-02,0.36
-2.946e-02,0.4
-2.882e-02,0.36
-2.818e-02,-0.04
-2.753e-02,-0.6
-2.689e-02,0
-2.625e-02,0.4
-2.561e-02,0.04
-2.497e-02,-0.16
-2.433e-02,0.04
-2.369e-02,0.32
-2.305e-02,0.36
-2.241e-02,0.24
-2.177e-02,0.28
-2.113e-02,0.32
-2.049e-02,-0.32
-1.985e-02,-0.52
-1.921e-02,0.28
-1.857e-02,0.28
-1.793e-02,0.12
-1.729e-02,0.28
-1.665e-02,0.4
-1.601e-02,0.2
-1.537e-02,-0.16
-1.473e-02,-0.08
-1.409e-02,0.32
-1.345e-02,0.12
-1.281e-02,-0.6
-1.217e-02,0.12
-1.153e-02,0.4
-1.089e-02,0.28
-1.025e-02,0.36
-9.605e-03,0.28
-8.965e-03,-0.28
-8.324e-03,-0.56
-7.684e-03,-0.48
-7.044e-03,0
-6.403e-03,0.32
-5.763e-03,-0.6
-5.123e-03,0.08
-4.482e-03,0.4
-3.842e-03,0.4
-3.202e-03,0.36
-2.561e-03,-0.12
-1.921e-03,-0.6
-1.281e-03,-0.56
-6.403e-04,-0.6
2.486e-15,-0.28
6.403e-04,0.36
1.281e-03,-0.64
1.921e-03,0.04
2.561e-03,0.4
3.202e-03,0.4
3.842e-03,0.12
4.482e-03,-0.6
5.123e-03,-0.48
5.763e-03,-0.24
6.403e-03,-0.48
7.044e-03,-0.32
7.684e-03,0.32
8.324e-03,-0.64
8.965e-03,0.04
9.605e-03,0.36
1.025e-02,0.28
1.089e-02,-0.36
1.153e-02,-0.56
1.217e-02,-0.12
1.281e-02,0.04
1.345e-02,-0.44
1.409e-02,-0.2
1.473e-02,0.2
1.537e-02,-0.64
1.601e-02,0.12
1.665e-02,0.32
1.729e-02,-0.04
1.793e-02,-0.6
1.857e-02,-0.24
1.921e-02,0.24
1.985e-02,0.16
2.049e-02,-0.56
2.113e-02,0.04
2.177e-02,0
2.241e-02,-0.56
2.305e-02,0.04
2.369e-02,0.08
2.433e-02,-0.44
2.497e-02,-0.52
2.561e-02,0.04
2.625e-02,0.32
2.689e-02,0.04
2.753e-02,-0.64
2.818e-02,0.24
2.882e-02,-0.24
2.946e-02,-0.52
3.010e-02,-0.08
3.074e-02,-0.28
3.138e-02,-0.64
3.202e-02,-0.28
3.266e-02,0.24
3.330e-02,0.32
3.394e-02,-0.16
3.458e-02,-0.56
3.522e-02,0.4
3.586e-02,-0.32
3.650e-02,-0.56
3.714e-02,-0.4
3.778e-02,-0.56
3.842e-02,-0.56
3.906e-02,0.04
3.970e-02,0.32
4.034e-02,0.24
4.098e-02,-0.32
4.162e-02,-0.48
4.226e-02,0.44
4.290e-02,-0.36
4.354e-02,-0.64
4.418e-02,-0.6
4.482e-02,-0.64
4.546e-02,-0.32
4.610e-02,0.16
4.674e-02,0.28
4.739e-02,0.08
4.803e-02,-0.32
4.867e-02,-0.64
4.931e-02,-0.4
4.995e-02,-0.08
5.059e-02,-0.08
5.123e-02,-0.44
5.187e-02,-0.56
5.251e-02,0.28
5.315e-02,0.16
5.379e-02,-0.4
5.443e-02,-0.6
5.507e-02,-0.52
5.571e-02,-0.16
5.635e-02,0.24
5.699e-02,0.36
5.763e-02,0.36
5.827e-02,0.04
5.891e-02,-0.56
5.955e-02,-0.28
6.019e-02,0.36
6.083e-02,0.28
6.147e-02,0.04
6.211e-02,0.16
6.275e-02,0.36
6.339e-02,0.44
6.403e-02,0.36
6.467e-02,0.36
6.531e-02,0.4
6.596e-02,-0.12
6.660e-02,-0.64
6.724e-02,-0.16
6.788e-02,0.36
6.852e-02,0.4
6.916e-02,0.4
6.980e-02,0.4
7.044e-02,0.2
7.108e-02,0
7.172e-02,0.04
7.236e-02,0.32
7.300e-02,0.32
7.364e-02,-0.4
7.428e-02,-0.52
7.492e-02,0.04
7.556e-02,0.28
7.620e-02,0.28
7.684e-02,0.16
7.748e-02,-0.16
7.812e-02,-0.4
7.876e-02,-0.36
7.940e-02,-0.04
8.004e-02,0.4
8.068e-02,-0.08
8.132e-02,-0.64
8.196e-02,-0.28
8.260e-02,0.04
8.324e-02,0.08
8.388e-02,-0.2
8.453e-02,-0.52
8.517e-02,-0.6
8.581e-02,-0.6
8.645e-02,-0.4
8.709e-02,0.28
8.773e-02,0.12
8.837e-02,-0.6
8.901e-02,-0.4
8.965e-02,-0.08
9.029e-02,-0.16
9.093e-02,-0.48
9.157e-02,-0.64
9.221e-02,-0.52
9.285e-02,-0.56
9.349e-02,-0.6
9.413e-02,0.12
9.477e-02,0.2
9.541e-02,-0.56
9.605e-02,-0.48
9.669e-02,-0.24
9.733e-02,-0.44
9.797e-02,-0.64
9.861e-02,-0.44
9.925e-02,-0.16
9.989e-02,-0.28
1.005e-01,-0.64
1.012e-01,0.04
1.018e-01,0.24
1.025e-01,-0.52
1.031e-01,-0.56
1.037e-01,-0.48
1.044e-01,-0.6
1.050e-01,-0.48
1.057e-01,-0.04
1.063e-01,0.12
1.069e-01,-0.12
1.076e-01,-0.64
1.082e-01,0.08
1.089e-01,0.24
1.095e-01,-0.52
1.101e-01,-0.6
1.108e-01,-0.6
1.114e-01,-0.52
1.121e-01,-0.16
1.127e-01,0.24
1.133e-01,0.28
1.140e-01,-0.08
1.146e-01,-0.6
1.153e-01,0.12
1.159e-01,0.16
1.165e-01,-0.48
1.172e-01,-0.6
1.178e-01,-0.56
1.185e-01,-0.28
1.191e-01,0.2
1.197e-01,0.36
1.204e-01,0.32
1.210e-01,-0.12
1.217e-01,-0.56
1.223e-01,0.2
1.229e-01,0.12
1.236e-01,-0.4
1.242e-01,-0.52
1.249e-01,-0.36
1.255e-01,0.08
1.261e-01,0.32
1.268e-01,0.36
1.274e-01,0.28
1.281e-01,-0.2
1.287e-01,-0.52
1.293e-01,0.28
1.300e-01,0.16
1.306e-01,-0.24
1.313e-01,-0.32
1.319e-01,-0.12
1.326e-01,0.28
1.332e-01,0.4
1.338e-01,0.36
1.345e-01,0.24
1.351e-01,-0.36
1.358e-01,-0.44
1.364e-01,0.32
1.370e-01,0.24
1.377e-01,-0.12
1.383e-01,-0.16
1.390e-01,0.08
1.396e-01,0.32
1.402e-01,0.36
1.409e-01,0.36
1.415e-01,0.16
1.422e-01,-0.48
1.428e-01,-0.36
1.434e-01,0.32
1.441e-01,0.28
1.447e-01,0
1.454e-01,0.04
1.460e-01,0.24
1.466e-01,0.32
1.473e-01,0.36
1.479e-01,0.24
1.486e-01,0.24
1.492e-01,0.36
1.498e-01,0.36
1.505e-01,0.28
1.511e-01,0.2
1.518e-01,0.36
1.524e-01,0.28
1.530e-01,-0.32
1.537e-01,-0.56
1.543e-01,-0.2
1.550e-01,0.12
1.556e-01,0.2
1.562e-01,0.12
1.569e-01,-0.04
1.575e-01,-0.24
1.582e-01,-0.24
1.588e-01,0
1.594e-01,0.32
1.601e-01,0.24
1.607e-01,-0.36
1.614e-01,-0.6
1.620e-01,-0.44
1.626e-01,-0.36
1.633e-01,-0.4
1.639e-01,-0.52
1.646e-01,-0.6
1.652e-01,-0.56
1.658e-01,-0.44
1.665e-01,-0.08
1.671e-01,0.36
1.678e-01,0.12
1.684e-01,-0.4
1.691e-01,-0.56
1.697e-01,-0.6
1.703e-01,-0.6
1.710e-01,-0.56
1.716e-01,-0.48
1.723e-01,-0.52
1.729e-01,-0.6
1.735e-01,-0.48
1.742e-01,0.12
1.748e-01,0.4
1.755e-01,0
1.761e-01,-0.4
1.767e-01,-0.52
1.774e-01,-0.44
1.780e-01,-0.28
1.787e-01,-0.12
1.793e-01,-0.08
1.799e-01,-0.32
1.806e-01,-0.6
1.812e-01,-0.24
1.819e-01,0.32
1.825e-01,0.24
1.831e-01,-0.12
1.838e-01,-0.2
1.844e-01,-0.04
1.851e-01,0.16
1.857e-01,0.28
1.863e-01,0.28
1.870e-01,0.08
1.876e-01,-0.48
1.883e-01,-0.52
1.889e-01,0.16
1.895e-01,0.36
1.902e-01,0.2
1.908e-01,0.16
1.915e-01,0.28
1.921e-01,0.4
1.927e-01,0.4
1.934e-01,0.36
1.940e-01,0.32
1.947e-01,-0.24
1.953e-01,-0.6
1.959e-01,0
1.966e-01,0.4
1.972e-01,0.36
1.979e-01,0.4
1.985e-01,0.4
1.991e-01,0.24
1.998e-01,0.16
2.004e-01,0.28
2.011e-01,0.4
2.017e-01,-0.08
2.023e-01,-0.64
2.030e-01,-0.12
2.036e-01,0.32
2.043e-01,0.4
2.049e-01,0.36
2.055e-01,0.2
2.062e-01,-0.04
2.068e-01,-0.08
2.075e-01,0.12
2.081e-01,0.4
2.088e-01,-0.04
2.094e-01,-0.6
2.100e-01,-0.24
2.107e-01,0.2
2.113e-01,0.32
2.120e-01,0.2
2.126e-01,-0.08
2.132e-01,-0.28
2.139e-01,-0.24
2.145e-01,0.04
2.152e-01,0.4
2.158e-01,-0.12
2.164e-01,-0.64
2.171e-01,-0.28
2.177e-01,0.08
2.184e-01,0.08
2.190e-01,-0.08
2.196e-01,-0.36
2.203e-01,-0.48
2.209e-01,-0.4
2.216e-01,-0.04
2.222e-01,0.4
2.228e-01,-0.12
2.235e-01,-0.64
2.241e-01,-0.44
2.248e-01,-0.16
2.254e-01,-0.2
2.260e-01,-0.4
2.267e-01,-0.52
2.273e-01,-0.56
2.280e-01,-0.48
2.286e-01,0
2.292e-01,0.4
2.299e-01,-0.08
2.305e-01,-0.6
2.312e-01,-0.52
2.318e-01,-0.36
2.324e-01,-0.4
2.331e-01,-0.52
2.337e-01,-0.6
2.344e-01,-0.6
2.350e-01,-0.48
2.356e-01,0.04
2.363e-01,0.4
2.369e-01,-0.04
2.376e-01,-0.6
2.382e-01,-0.6
2.388e-01,-0.52
2.395e-01,-0.56
2.401e-01,-0.6
2.408e-01,-0.6
2.414e-01,-0.6
2.420e-01,-0.44
2.427e-01,0.12
2.433e-01,0.4
2.440e-01,-0.12
2.446e-01,-0.6
2.453e-01,-0.64
2.459e-01,-0.56
2.465e-01,-0.56
2.472e-01,-0.64
2.478e-01,-0.6
2.485e-01,-0.36
2.491e-01,-0.2
2.497e-01,-0.24
2.504e-01,-0.4
2.510e-01,-0.52
2.517e-01,-0.52
2.523e-01,-0.36
2.529e-01,0
2.536e-01,0.4
2.542e-01,0.24
2.549e-01,-0.28
2.555e-01,-0.6
2.561e-01,-0.64
2.568e-01,-0.64
2.574e-01,-0.6
2.581e-01,-0.56
2.587e-01,-0.56
2.593e-01,-0.64
2.600e-01,-0.56
2.606e-01,-0.04
2.613e-01,0.4
2.619e-01,0.24
2.625e-01,-0.12
2.632e-01,-0.36
2.638e-01,-0.32
2.645e-01,-0.24
2.651e-01,-0.16
2.657e-01,-0.16
2.664e-01,-0.32
2.670e-01,-0.6
2.677e-01,-0.48
2.683e-01,0.08
2.689e-01,0.4
2.696e-01,0.24
2.702e-01,0.08
2.709e-01,0.12
2.715e-01,0.2
2.721e-01,0.28
2.728e-01,0.28
2.734e-01,0.12
2.741e-01,-0.32
2.747e-01,-0.6
2.753e-01,-0.28
2.760e-01,0.28
2.766e-01,0.4
2.773e-01,0.36
2.779e-01,0.36
2.785e-01,0.4
2.792e-01,0.4
2.798e-01,0.4
2.805e-01,0.36
2.811e-01,0.08
2.818e-01,-0.48
2.824e-01,-0.52
2.830e-01,0
2.837e-01,0.28
2.843e-01,0.36
2.850e-01,0.36
2.856e-01,0.28
2.862e-01,0.16
2.869e-01,0.24
2.875e-01,0.36
2.882e-01,0.28
2.888e-01,-0.32
2.894e-01,-0.6
2.901e-01,-0.24
2.907e-01,0.08
2.914e-01,0.16
2.920e-01,0.12
2.926e-01,-0.04
2.933e-01,-0.12
2.939e-01,-0.04
2.946e-01,0.28
2.952e-01,0.36
2.958e-01,-0.24
2.965e-01,-0.64
2.971e-01,-0.4
2.978e-01,-0.12
2.984e-01,-0.04
2.990e-01,-0.16
2.997e-01,-0.32
3.003e-01,-0.4
3.010e-01,-0.24
3.016e-01,0.16
3.022e-01,0.4
3.029e-01,-0.12
3.035e-01,-0.6
3.042e-01,-0.48
3.048e-01,-0.24
3.054e-01,-0.28
3.061e-01,-0.4
3.067e-01,-0.52
3.074e-01,-0.52
3.080e-01,-0.36
3.086e-01,0.08
3.093e-01,0.36
3.099e-01,-0.04
3.106e-01,-0.56
3.112e-01,-0.56
3.118e-01,-0.48
3.125e-01,-0.52
3.131e-01,-0.6
3.138e-01,-0.6
3.144e-01,-0.6
3.150e-01,-0.48
3.157e-01,-0.04
3.163e-01,0.4
3.170e-01,0.04
3.176e-01,-0.48
3.182e-01,-0.6
3.189e-01,-0.6
3.195e-01,-0.6

