Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.04
Sample Interval,0.000640342
Filter Frequency,2e+08
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,MATH
-3.202e-01,-0.6
-3.195e-01,0.2
-3.189e-01,0
-3.182e-01,-0.44
-3.176e-01,-0.36
-3.170e-01,0.2
-3.163e-01,-0.2
-3.157e-01,0
-3.150e-01,0.16
-3.144e-01,-0.56
-3.138e-01,-0.56
-3.131e-01,-0.6
-3.125e-01,0
-3.118e-01,0.4
-3.112e-01,-0.04
-3.106e-01,-0.52
-3.099e-01,-0.36
-3.093e-01,0.4
-3.086e-01,-0.44
-3.080e-01,0
-3.074e-01,-0.12
-3.067e-01,-0.6
-3.061e-01,-0.6
-3.054e-01,-0.48
-3.048e-01,0.32
-3.042e-01,-0.32
-3.035e-01,-0.48
-3.029e-01,-0.44
-3.022e-01,-0.52
-3.016e-01,0.4
-3.010e-01,-0.4
-3.003e-01,-0.2
-2.997e-01,-0.44
-2.990e-01,-0.24
-2.984e-01,-0.6
-2.978e-01,0.4
-2.971e-01,-0.6
-2.965e-01,0.36
-2.958e-01,0.4
-2.952e-01,-0.2
-2.946e-01,0.32
-2.939e-01,-0.12
-2.933e-01,-0.56
-2.926e-01,0.12
-2.920e-01,0.24
-2.914e-01,-0.6
-2.907e-01,0.04
-2.901e-01,0.24
-2.894e-01,-0.08
-2.888e-01,-0.24
-2.882e-01,0.16
-2.875e-01,0.36
-2.869e-01,0.36
-2.862e-01,-0.28
-2.856e-01,0.36
-2.850e-01,0.32
-2.843e-01,-0.2
-2.837e-01,-0.56
-2.830e-01,0
-2.824e-01,-0.6
-2.818e-01,-0.52
-2.811e-01,-0.24
-2.805e-01,-0.32
-2.798e-01,-0.16
-2.792e-01,0.36
-2.785e-01,0.16
-2.779e-01,-0.08
-2.773e-01,0.32
-2.766e-01,0.32
-2.760e-01,-0.6
-2.753e-01,-0.04
-2.747e-01,-0.36
-2.741e-01,-0.52
-2.734e-01,-0.44
-2.728e-01,-0.56
-2.721e-01,0.24
-2.715e-01,0.32
-2.709e-01,-0.52
-2.702e-01,-0.56
-2.696e-01,-0.16
-2.689e-01,0.12
-2.683e-01,-0.08
-2.677e-01,0.32
-2.670e-01,0.32
-2.664e-01,0.36
-2.657e-01,0.08
-2.651e-01,0.2
-2.645e-01,0.08
-2.638e-01,0.32
-2.632e-01,0.08
-2.625e-01,-0.6
-2.619e-01,0.24
-2.613e-01,-0.6
-2.606e-01,-0.16
-2.600e-01,-0.2
-2.593e-01,-0.16
-2.587e-01,0.24
-2.581e-01,0.32
-2.574e-01,-0.56
-2.568e-01,-0.28
-2.561e-01,0.24
-2.555e-01,-0.24
-2.549e-01,-0.16
-2.542e-01,-0.04
-2.536e-01,-0.48
-2.529e-01,-0.52
-2.523e-01,-0.52
-2.517e-01,-0.28
-2.510e-01,-0.44
-2.504e-01,-0.24
-2.497e-01,0.08
-2.491e-01,0.36
-2.485e-01,-0.6
-2.478e-01,-0.6
-2.472e-01,0.28
-2.465e-01,-0.56
-2.459e-01,-0.16
-2.453e-01,-0.2
-2.446e-01,-0.28
-2.440e-01,-0.28
-2.433e-01,-0.44
-2.427e-01,0.04
-2.420e-01,0.2
-2.414e-01,0.28
-2.408e-01,0.4
-2.401e-01,-0.44
-2.395e-01,0.36
-2.388e-01,-0.6
-2.382e-01,-0.2
-2.376e-01,-0.48
-2.369e-01,0
-2.363e-01,-0.56
-2.356e-01,0.28
-2.350e-01,-0.6
-2.344e-01,-0.24
-2.337e-01,-0.48
-2.331e-01,-0.12
-2.324e-01,0
-2.318e-01,-0.56
-2.312e-01,-0.36
-2.305e-01,-0.56
-2.299e-01,0.08
-2.292e-01,-0.4
-2.286e-01,0.16
-2.280e-01,0.12
-2.273e-01,-0.4
-2.267e-01,-0.2
-2.260e-01,0.4
-2.254e-01,-0.2
-2.248e-01,-0.6
-2.241e-01,-0.44
-2.235e-01,-0.56
-2.228e-01,-0.08
-2.222e-01,0.16
-2.216e-01,-0.6
-2.209e-01,0.24
-2.203e-01,0.32
-2.196e-01,0.36
-2.190e-01,0.32
-2.184e-01,-0.16
-2.177e-01,-0.6
-2.171e-01,-0.36
-2.164e-01,-0.48
-2.158e-01,-0.56
-2.152e-01,0.2
-2.145e-01,-0.08
-2.139e-01,-0.4
-2.132e-01,0.28
-2.126e-01,0.4
-2.120e-01,0.36
-2.113e-01,-0.12
-2.107e-01,-0.56
-2.100e-01,-0.08
-2.094e-01,0.04
-2.088e-01,-0.24
-2.081e-01,-0.52
-2.075e-01,0.32
-2.068e-01,-0.6
-2.062e-01,0.2
-2.055e-01,0.4
-2.049e-01,0.4
-2.043e-01,-0.28
-2.036e-01,-0.4
-2.030e-01,0.36
-2.023e-01,0.32
-2.017e-01,0.36
-2.011e-01,-0.6
-2.004e-01,0.4
-1.998e-01,-0.6
-1.991e-01,0.36
-1.985e-01,0.24
-1.979e-01,0.4
-1.972e-01,-0.52
-1.966e-01,0.08
-1.959e-01,0.16
-1.953e-01,-0.32
-1.947e-01,0.28
-1.940e-01,-0.56
-1.934e-01,0.36
-1.927e-01,-0.4
-1.921e-01,0.32
-1.915e-01,0.08
-1.908e-01,0.32
-1.902e-01,-0.6
-1.895e-01,0.36
-1.889e-01,-0.6
-1.883e-01,-0.6
-1.876e-01,0.24
-1.870e-01,-0.64
-1.863e-01,0.04
-1.857e-01,0.2
-1.851e-01,0.04
-1.844e-01,0.24
-1.838e-01,-0.12
-1.831e-01,0
-1.825e-01,-0.4
-1.819e-01,-0.36
-1.812e-01,-0.6
-1.806e-01,0.36
-1.799e-01,-0.44
-1.793e-01,-0.56
-1.787e-01,0.4
-1.780e-01,0.08
-1.774e-01,0.44
-1.767e-01,-0.6
-1.761e-01,0.32
-1.755e-01,-0.52
-1.748e-01,-0.12
-1.742e-01,-0.6
-1.735e-01,0.36
-1.729e-01,0.2
-1.723e-01,-0.52
-1.716e-01,0.4
-1.710e-01,0.36
-1.703e-01,0.04
-1.697e-01,-0.08
-1.691e-01,-0.44
-1.684e-01,-0.12
-1.678e-01,-0.16
-1.671e-01,-0.44
-1.665e-01,-0.28
-1.658e-01,0.32
-1.652e-01,-0.2
-1.646e-01,0.4
-1.639e-01,0.36
-1.633e-01,-0.6
-1.626e-01,0.4
-1.620e-01,-0.6
-1.614e-01,-0.08
-1.607e-01,-0.44
-1.601e-01,0.16
-1.594e-01,-0.6
-1.588e-01,-0.2
-1.582e-01,-0.12
-1.575e-01,0.32
-1.569e-01,-0.16
-1.562e-01,-0.24
-1.556e-01,-0.12
-1.550e-01,-0.52
-1.543e-01,-0.32
-1.537e-01,-0.64
-1.530e-01,0.36
-1.524e-01,-0.08
-1.518e-01,-0.28
-1.511e-01,-0.68
-1.505e-01,-0.6
-1.498e-01,0.4
-1.492e-01,-0.6
-1.486e-01,0.2
-1.479e-01,-0.64
-1.473e-01,-0.28
-1.466e-01,-0.6
-1.460e-01,0.12
-1.454e-01,-0.04
-1.447e-01,-0.64
-1.441e-01,-0.48
-1.434e-01,-0.64
